FST	Target Het.	MeanHetBP	MeanHetWP	NumMutsOnTree	Target Mean FST = 0.103888
0	0.0185056	0	0	0
0.116142	0.561494	0.513896	0.454211	11
0.00142518	0.274614	0.00720451	0.00719424	1
0.138878	0.786532	0.784168	0.675265	17
0.0514152	0.588997	0.716944	0.680082	6
0.108639	0.742464	0.679898	0.606034	24
0.0629714	0.466092	0.0919389	0.0861494	5
0.151604	0.586353	0.146808	0.124551	3
0.0720188	0.502689	0.751452	0.697333	9
0.0975164	0.915276	0.933757	0.8427	56
-0.00514701	0.227706	0.0214722	0.0215827	2
0	0.0307547	0	0	0
0.0939817	0.984503	0.991038	0.897899	380
0.124326	0.554975	0.76816	0.672658	9
0.0812009	0.266885	0.371502	0.341336	2
0.0873462	0.87808	0.89873	0.82023	41
0.0518216	0.573113	0.725967	0.688346	10
0	0.00515975	0	0	0
0.0927636	0.507085	0.715953	0.649539	8
0.0935751	0.638944	0.835893	0.757674	13
0.119892	0.696871	0.724858	0.637954	12
0	0.2021	0	0	0
0	0.0956895	0	0	0
0.125742	0.331612	0.256495	0.224243	2
0	0.0376861	0	0	0
0.0607597	0.401579	0.722777	0.678862	5
0.144207	0.220723	0.330277	0.282649	3
0.0702857	0.615426	0.731252	0.679855	10
0.139514	0.500958	0.453899	0.390574	3
0.176451	0.126664	0.48544	0.399783	1
0	0.00666833	0	0	0
0.225567	0.423718	0.200601	0.155352	4
0.0688647	0.757461	0.644534	0.600148	11
0.119046	0.964654	0.980484	0.863762	179
0.186192	0.4112	0.387965	0.315729	4
0.0733228	0.287551	0.0288874	0.0267693	2
0.0800628	0.715643	0.575645	0.529557	8
0.160613	0.477855	0.848372	0.712112	13
0.120941	0.586175	0.658978	0.579281	8
0.162014	0.516289	0.363612	0.304702	3
0.0796582	0.310118	0.558856	0.514338	2
0.158135	0.105083	0.186912	0.157355	1
0	0.170797	0	0	0
0.0996954	0.632279	0.87014	0.783391	18
0.130748	0.633838	0.818234	0.711252	15
0.188305	0.769039	0.768172	0.623522	15
0	0.366642	0	0	0
0.0436148	0.412921	0.436925	0.417869	2
0.0881482	0.615544	0.676954	0.617282	10
0	0.156144	0	0	0
0.0779949	0.573765	0.311889	0.287563	6
0.0479812	0.457093	0.611991	0.582627	9
0.110312	0.570219	0.741286	0.659514	9
0.0263503	0.303686	0.470991	0.45858	3
0.328603	0.186226	0.349986	0.234979	3
0.0914694	0.871821	0.878166	0.797841	60
0	0.000894985	0	0	0
0.0813485	0.586745	0.587574	0.539775	9
0.0910403	0.812119	0.879603	0.799524	22
0	0.134904	0	0	0
0.0977623	0.728717	0.712922	0.643226	14
0.0876465	0.662606	0.660778	0.602863	9
0.100964	0.982833	0.982056	0.882904	306
0.0522595	0.603117	0.798828	0.757082	12
0.079358	0.96514	0.973463	0.896211	189
0.124029	0.548145	0.652838	0.571867	6
0.0786841	0.711922	0.58595	0.539845	11
0.122877	0.728488	0.833901	0.731434	19
0.138603	0.490164	0.671917	0.578787	4
0.105669	0.931635	0.923213	0.825658	70
0.109107	0.924826	0.942411	0.839587	45
0.0595185	0.57209	0.744112	0.699823	7
0.149389	0.631356	0.797541	0.678397	16
0.085807	0.808056	0.873026	0.798115	23
0.207805	0.873437	0.806158	0.638635	22
0.0354537	0.37847	0.0768262	0.0741024	1
0.0747615	0.684723	0.874819	0.809416	16
0.175877	0.755318	0.83751	0.690211	13
0	0.0341021	0	0	0
0.109305	0.794861	0.92258	0.821737	34
0.110693	0.86741	0.847778	0.753935	22
0	0.121792	0	0	0
0.0783554	0.811774	0.871241	0.802975	27
0.0838829	0.893842	0.9159	0.839072	52
0.1277	0.668952	0.8612	0.751225	12
0	0.0500038	0	0	0
0.0557745	0.58596	0.391828	0.369974	5
0.107433	0.976184	0.985003	0.879181	192
0.0718151	0.733182	0.898273	0.833764	20
0.110889	0.907176	0.913975	0.812625	73
0.078659	0.979891	0.988557	0.910798	304
0.0612535	0.796567	0.71777	0.673804	25
0	0.0253738	0	0	0
0	0.0104485	0	0	0
0.132275	0.98548	0.994027	0.862542	392
0.0817253	0.42517	0.653264	0.599875	5
0.0887934	0.316825	0.0502275	0.0457676	2
0.00982858	0.296366	0.185673	0.183848	4
0	0.099123	0	0	0
0.168062	0.544796	0.487774	0.405798	5
0.131278	0.355929	0.63085	0.548034	4
0.100789	0.751047	0.860507	0.773777	18
0.335386	0.189101	0.231874	0.154107	2
0.124427	0.440339	0.782478	0.685117	7
0	0.0903177	0	0	0
0.081463	0.266371	0.588842	0.540873	5
0.0957156	0.686517	0.730429	0.660515	10
0.0878996	0.628058	0.332648	0.303409	11
0	0.0657539	0	0	0
0.103255	0.723637	0.843294	0.756219	15
0	0.0760033	0	0	0
0.170809	0.879703	0.900037	0.746303	26
0.114186	0.203592	0.532792	0.471955	4
0.0759054	0.917222	0.919895	0.85007	53
0.0924117	0.586179	0.385561	0.349931	6
0.070366	0.383135	0.111942	0.104066	3
0.0828137	0.834954	0.793871	0.728128	20
0.0851499	0.228836	0.215609	0.19725	4
0.154827	0.751237	0.785948	0.664262	10
0.142965	0.843093	0.836868	0.717226	22
0.152255	0.287846	0.493263	0.418162	3
0.0814605	0.473868	0.384318	0.353012	4
0.0554338	0.845824	0.909489	0.859073	26
0.0634453	0.48064	0.683698	0.64032	7
0.074125	0.293448	0.369026	0.341672	3
0.0713909	0.666264	0.539993	0.501443	15
0.0423447	0.245468	0.021578	0.0206643	1
0.0819159	0.955843	0.969289	0.889889	102
0.0215762	0.451245	0.542888	0.531174	5
0	0.104068	0	0	0
